Old URL,New URL,Action,Priority,Clicks,Impressions,CTR%,Position,Content Type,Comment
https://writeralpha.com/business/instagram-usernames-for-boys,/instagram-names/boys,UPDATE,HIGH,18013,993283,1.8,11.7,business-names,"Good traffic (18013 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/business/girly-business-names,/business-names/girly,UPDATE,HIGH,8360,172642,4.8,19.5,business-names,"Good traffic (8360 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/business/girly-instagram-names,/instagram-names/girly,UPDATE,HIGH,7301,633901,1.1,14.8,business-names,"Good traffic (7301 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/gemstone/who-should-not-wear-pyrite-stone,/gemstones/pyrite/who-should-not-wear,UPDATE,HIGH,6391,184888,3.5,6.4,who-should-not-wear,"Good traffic (6391 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/gemstone/who-should-not-wear-amethyst-stone,/gemstones/amethyst/who-should-not-wear,UPDATE,HIGH,3352,80889,4.1,7.1,who-should-not-wear,"Good traffic (3352 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/business/names-for-stationery-businesses,/business-names/names-for-stationery-businesses,UPDATE,HIGH,3313,98042,3.4,11.0,business-names,"Good traffic (3313 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/gemstone/who-should-not-wear-jade,/gemstones/jade/who-should-not-wear,UPDATE,HIGH,2624,76196,3.4,8.2,who-should-not-wear,"Good traffic (2624 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/gemstone/who-should-not-wear-tortoise-ring,/gemstones/tortoise-ring/who-should-not-wear,UPDATE,HIGH,2266,128896,1.8,7.7,who-should-not-wear,"Good traffic (2266 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/gemstone/who-should-not-wear-tiger-eye-stone,/gemstones/tiger-eye/who-should-not-wear,UPDATE,HIGH,1975,97403,2.0,9.1,who-should-not-wear,"Good traffic (1975 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/gemstone/who-should-not-wear-lava-stone,/gemstones/lava/who-should-not-wear,UPDATE,HIGH,1880,34565,5.4,14.8,who-should-not-wear,"Good traffic (1880 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/business/embroidery-business-names,/business-names/embroidery,UPDATE,HIGH,1641,65344,2.5,13.0,business-names,"Good traffic (1641 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/business/construction-company-names,/business-names/construction-company,UPDATE,MEDIUM,1333,83282,1.6,42.9,business-names,"Good traffic (1333 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/gemstone/who-should-not-wear-rose-quartz,/gemstones/rose-quartz/who-should-not-wear,UPDATE,HIGH,1325,57541,2.3,6.2,who-should-not-wear,"Good traffic (1325 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/business/real-estate-team-names,/business-names/real-estate-team,UPDATE,MEDIUM,1272,38941,3.3,36.4,business-names,"Good traffic (1272 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/business/jewelry-slogans,/slogans/jewelry,UPDATE,HIGH,1260,66065,1.9,12.4,business-names,"Good traffic (1260 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/gemstone/who-should-not-wear-garnet-stone,/gemstones/garnet/who-should-not-wear,UPDATE,HIGH,1248,41823,3.0,9.5,who-should-not-wear,"Good traffic (1248 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/business/sewing-business-names,/business-names/sewing,UPDATE,HIGH,1224,65266,1.9,13.1,business-names,"Good traffic (1224 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/gemstone/who-should-not-wear-turquoise-stone,/gemstones/turquoise/who-should-not-wear,UPDATE,HIGH,1198,47406,2.5,9.6,who-should-not-wear,"Good traffic (1198 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/business/dessert-business-names-ideas,/business-names/dessert-ideas,UPDATE,MEDIUM,1047,50280,2.1,25.9,business-names,"Good traffic (1047 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/business/crystal-company-names,/business-names/crystal-company,UPDATE,HIGH,826,23418,3.5,13.7,business-names,"Good traffic (826 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/gemstone/who-should-not-wear-peridot,/gemstones/peridot/who-should-not-wear,UPDATE,HIGH,784,19584,4.0,12.8,who-should-not-wear,"Good traffic (784 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/gemstone/who-should-not-wear-black-onyx,/gemstones/black-onyx/who-should-not-wear,UPDATE,HIGH,728,30493,2.4,12.8,who-should-not-wear,"Good traffic (728 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/business/sister-business-names,/business-names/sister,UPDATE,HIGH,697,35365,2.0,18.1,business-names,"Good traffic (697 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/gemstone/who-should-not-wear-aquamarine-stone,/gemstones/aquamarine/who-should-not-wear,UPDATE,HIGH,581,24468,2.4,14.1,who-should-not-wear,"Good traffic (581 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/gemstone/who-should-not-wear-cats-eye-stone,/gemstones/cats-eye/who-should-not-wear,UPDATE,HIGH,469,24361,1.9,9.2,who-should-not-wear,"Good traffic (469 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/gemstone/who-should-not-wear-lapis-lazuli,/gemstones/lapis-lazuli/who-should-not-wear,UPDATE,HIGH,431,29656,1.4,10.5,who-should-not-wear,"Good traffic (431 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/business/boho-business-names,/business-names/boho,UPDATE,HIGH,361,16842,2.1,17.9,business-names,"Good traffic (361 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/business/knitting-business-names,/business-names/knitting,UPDATE,HIGH,327,14093,2.3,15.9,business-names,"Good traffic (327 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/business/flower-shop-names,/business-names/flower-shop,UPDATE,MEDIUM,294,33206,0.9,47.1,business-names,"Good traffic (294 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/business/crochet-business-names,/business-names/crochet,UPDATE,MEDIUM,293,32748,0.9,30.5,business-names,"Good traffic (293 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/gemstone/salt-safe-crystals,/learn/salt-safe-crystals,UPDATE,HIGH,287,15915,1.8,19.7,gem-other,"Good traffic (287 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/gemstone/can-pyrite-go-in-water,/gemstones/pyrite/can-go-in-water,UPDATE,HIGH,280,30868,0.9,10.3,can-go-in-water,"Good traffic (280 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/gemstone/who-should-not-wear-citrine-stone,/gemstones/citrine/who-should-not-wear,UPDATE,HIGH,270,21644,1.2,12.7,who-should-not-wear,"Good traffic (270 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/business/massage-business-names,/business-names/massage,UPDATE,MEDIUM,250,31706,0.8,27.9,business-names,"Good traffic (250 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/gemstone/sleeping-with-black-tourmaline-under-pillow,/gemstones/black-tourmaline/sleeping-with,UPDATE,HIGH,217,20536,1.1,11.5,sleeping-under-pillow,"Good traffic (217 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/business/balloon-business-names,/business-names/balloon,UPDATE,MEDIUM,211,20645,1.0,22.5,business-names,"Good traffic (211 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/gemstone/can-jade-go-in-water,/gemstones/jade/can-go-in-water,UPDATE,HIGH,196,13077,1.5,14.2,can-go-in-water,"Good traffic (196 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/gemstone/who-should-not-wear-opal,/gemstones/opal/who-should-not-wear,UPDATE,MEDIUM,191,13518,1.4,20.0,who-should-not-wear,"Good traffic (191 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/business/cleaning-business-names,/business-names/cleaning,UPDATE,MEDIUM,170,140130,0.1,21.9,business-names,"Good traffic (170 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/gemstone/can-obsidian-go-in-water,/gemstones/obsidian/can-go-in-water,UPDATE,HIGH,169,17022,1.0,15.2,can-go-in-water,"Good traffic (169 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/gemstone/crystals-for-jealousy,/crystals/crystals-for-jealousy,UPDATE,HIGH,167,5133,3.2,10.5,crystals-for,"Good traffic (167 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/business/craft-business-names,/business-names/craft,UPDATE,MEDIUM,158,56249,0.3,50.9,business-names,"Good traffic (158 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/business/therapy-business-names,/business-names/therapy,UPDATE,MEDIUM,157,20679,0.8,46.4,business-names,"Good traffic (157 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/business/jewelry-business-names,/business-names/jewelry,UPDATE,MEDIUM,156,37586,0.4,58.1,business-names,"Good traffic (156 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/business/photography-business-names,/business-names/photography,UPDATE,MEDIUM,146,61427,0.2,60.2,business-names,"Good traffic (146 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/business/barber-shop-names,/business-names/barber-shop,UPDATE,MEDIUM,135,24005,0.6,32.0,business-names,"Good traffic (135 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/gemstone/sleeping-with-green-aventurine-under-pillow,/gemstones/green-aventurine/sleeping-with,UPDATE,HIGH,122,6282,1.9,16.2,sleeping-under-pillow,"Good traffic (122 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/business/handmade-jewelry-business-names,/business-names/handmade-jewelry,UPDATE,MEDIUM,115,31947,0.4,53.0,business-names,"Good traffic (115 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/gemstone/can-lapis-lazuli-go-in-water,/gemstones/lapis-lazuli/can-go-in-water,UPDATE,HIGH,111,13386,0.8,16.3,can-go-in-water,"Good traffic (111 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/business/lingerie-store-names,/business-names/lingerie-store,UPDATE,MEDIUM,111,10679,1.0,24.1,business-names,"Good traffic (111 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/gemstone/pink-agate-meaning,/gemstones/pink-agate/meaning,UPDATE,MEDIUM,111,6212,1.8,44.4,meaning,"Good traffic (111 clicks). Refresh content with 2026 data, improve depth."
https://writeralpha.com/business/handyman-business-name-ideas,/business-names/handyman-business,UPDATE,MEDIUM,96,22611,0.4,50.0,biz-other,Moderate traffic. Update content freshness.
https://writeralpha.com/gemstone/can-labradorite-go-in-water,/gemstones/labradorite/can-go-in-water,UPDATE,MEDIUM,91,9958,0.9,17.6,can-go-in-water,Moderate traffic. Update content freshness.
https://writeralpha.com/gemstone/can-citrine-go-in-water,/gemstones/citrine/can-go-in-water,UPDATE,MEDIUM,90,11224,0.8,18.0,can-go-in-water,Moderate traffic. Update content freshness.
https://writeralpha.com/gemstone/sleeping-with-tigers-eye-under-pillow,/gemstones/tigers-eye/sleeping-with,UPDATE,MEDIUM,88,7919,1.1,13.4,sleeping-under-pillow,Moderate traffic. Update content freshness.
https://writeralpha.com/business/ice-cream-truck-names,/business-names/ice-cream-truck,UPDATE,MEDIUM,86,16818,0.5,33.5,business-names,Moderate traffic. Update content freshness.
https://writeralpha.com/gemstone/can-black-tourmaline-go-in-water,/gemstones/black-tourmaline/can-go-in-water,UPDATE,MEDIUM,83,12712,0.7,24.8,can-go-in-water,Moderate traffic. Update content freshness.
https://writeralpha.com/gemstone/sleeping-with-moldavite-under-pillow,/gemstones/moldavite/sleeping-with,UPDATE,MEDIUM,79,3946,2.0,34.9,sleeping-under-pillow,Moderate traffic. Update content freshness.
https://writeralpha.com/gemstone/who-should-not-wear-emerald,/gemstones/emerald/who-should-not-wear,UPDATE,MEDIUM,78,9541,0.8,12.6,who-should-not-wear,Moderate traffic. Update content freshness.
https://writeralpha.com/business/sneaker-store-names,/business-names/sneaker-store,UPDATE,MEDIUM,77,16311,0.5,44.3,business-names,Moderate traffic. Update content freshness.
https://writeralpha.com/business/earring-business-names,/business-names/earring,UPDATE,MEDIUM,75,14749,0.5,21.9,business-names,Moderate traffic. Update content freshness.
https://writeralpha.com/gemstone/can-black-onyx-go-in-water,/gemstones/black-onyx/can-go-in-water,UPDATE,MEDIUM,74,6671,1.1,14.2,can-go-in-water,Moderate traffic. Update content freshness.
https://writeralpha.com/gemstone/can-green-aventurine-go-in-water,/gemstones/green-aventurine/can-go-in-water,UPDATE,MEDIUM,71,10527,0.7,14.7,can-go-in-water,Moderate traffic. Update content freshness.
https://writeralpha.com/business/body-scrub-business-names,/business-names/body-scrub,UPDATE,MEDIUM,67,9936,0.7,21.9,business-names,Moderate traffic. Update content freshness.
https://writeralpha.com/gemstone/larvikite-vs-labradorite,/compare/larvikite-vs-labradorite,UPDATE,MEDIUM,67,6692,1.0,27.0,gem-other,Moderate traffic. Update content freshness.
https://writeralpha.com/business/house-cleaning-business-names,/business-names/house-cleaning,UPDATE,MEDIUM,59,48774,0.1,24.7,business-names,Moderate traffic. Update content freshness.
https://writeralpha.com/gemstone/can-lepidolite-go-in-water,/gemstones/lepidolite/can-go-in-water,UPDATE,MEDIUM,54,4297,1.3,17.8,can-go-in-water,Moderate traffic. Update content freshness.
https://writeralpha.com/gemstone/can-larimar-go-in-water-essential-care-tips-for-your-gemstone,/gemstones/larimar/can-go-in-water,UPDATE,MEDIUM,53,3609,1.5,19.3,can-go-in-water,Moderate traffic. Update content freshness.
https://writeralpha.com/business/cookie-business-name-ideas,/business-names/cookie-business,UPDATE,MEDIUM,52,14356,0.4,38.8,biz-other,Moderate traffic. Update content freshness.
https://writeralpha.com/gemstone/can-hematite-go-in-water,/gemstones/hematite/can-go-in-water,UPDATE,MEDIUM,52,6471,0.8,17.2,can-go-in-water,Moderate traffic. Update content freshness.
https://writeralpha.com/gemstone/can-howlite-go-in-water,/gemstones/howlite/can-go-in-water,UPDATE,MEDIUM,52,5342,1.0,16.2,can-go-in-water,Moderate traffic. Update content freshness.
https://writeralpha.com/gemstone/sleeping-with-rose-quartz-under-pillow,/gemstones/rose-quartz/sleeping-with,UPDATE,MEDIUM,50,8912,0.6,28.5,sleeping-under-pillow,Moderate traffic. Update content freshness.
https://writeralpha.com/gemstone/can-opal-go-in-water,/gemstones/opal/can-go-in-water,UPDATE,MEDIUM,50,4430,1.1,29.7,can-go-in-water,Moderate traffic. Update content freshness.
https://writeralpha.com/gemstone/are-rocks-alive,/learn/are-rocks-alive,UPDATE,HIGH,49,50441,0.1,10.9,gem-other,"High impressions (50,441) but low clicks. Needs complete content upgrade."
https://writeralpha.com/gemstone/can-garnet-go-in-water,/gemstones/garnet/can-go-in-water,UPDATE,MEDIUM,46,5733,0.8,15.7,can-go-in-water,Moderate traffic. Update content freshness.
https://writeralpha.com/gemstone/can-malachite-go-in-water,/gemstones/malachite/can-go-in-water,UPDATE,MEDIUM,45,9967,0.5,16.1,can-go-in-water,Moderate traffic. Update content freshness.
https://writeralpha.com/business/tax-business-names,/business-names/tax,UPDATE,MEDIUM,45,4382,1.0,38.0,business-names,Moderate traffic. Update content freshness.
https://writeralpha.com/gemstone/can-red-jasper-go-in-water,/gemstones/red-jasper/can-go-in-water,UPDATE,MEDIUM,44,5029,0.9,18.0,can-go-in-water,Moderate traffic. Update content freshness.
https://writeralpha.com/gemstone/crystals-for-independence,/crystals/crystals-for-independence,UPDATE,MEDIUM,44,2383,1.9,36.3,crystals-for,Moderate traffic. Update content freshness.
https://writeralpha.com/gemstone/can-amazonite-go-in-water,/gemstones/amazonite/can-go-in-water,UPDATE,MEDIUM,43,4515,0.9,17.2,can-go-in-water,Moderate traffic. Update content freshness.
https://writeralpha.com/gemstone/crystals-for-nurses,/crystals/crystals-for-nurses,UPDATE,MEDIUM,43,1956,2.2,15.1,crystals-for,Moderate traffic. Update content freshness.
https://writeralpha.com/business/lucky-business-names-list,/business-names/lucky-list,UPDATE,MEDIUM,42,6627,0.6,37.1,business-names,Moderate traffic. Update content freshness.
https://writeralpha.com/business/art-business-names,/business-names/art,UPDATE,MEDIUM,40,18147,0.2,57.4,business-names,"High impressions (18,147) but low clicks. Needs complete content upgrade."
https://writeralpha.com/gemstone/can-flower-agate-go-in-water,/gemstones/flower-agate/can-go-in-water,UPDATE,MEDIUM,38,3327,1.1,32.3,can-go-in-water,Moderate traffic. Update content freshness.
https://writeralpha.com/gemstone/can-rose-quartz-go-in-water,/gemstones/rose-quartz/can-go-in-water,UPDATE,MEDIUM,37,12729,0.3,33.4,can-go-in-water,"High impressions (12,729) but low clicks. Needs complete content upgrade."
https://writeralpha.com/gemstone/can-selenite-go-in-water,/gemstones/selenite/can-go-in-water,UPDATE,MEDIUM,35,11495,0.3,31.6,can-go-in-water,"High impressions (11,495) but low clicks. Needs complete content upgrade."
https://writeralpha.com/gemstone/larvikite-meaning,/gemstones/larvikite/meaning,UPDATE,MEDIUM,34,6442,0.5,41.0,meaning,Moderate traffic. Update content freshness.
https://writeralpha.com/gemstone/sleeping-with-amethyst-under-pillow,/gemstones/amethyst/sleeping-with,UPDATE,MEDIUM,33,9752,0.3,28.2,sleeping-under-pillow,Moderate traffic. Update content freshness.
https://writeralpha.com/gemstone/green-aventurine-meaning-properties-benefits-uses,/gemstones/green-aventurine/meaning,UPDATE,MEDIUM,32,10613,0.3,75.7,meaning,"High impressions (10,613) but low clicks. Needs complete content upgrade."
https://writeralpha.com/business/notary-business-names,/business-names/notary,UPDATE,MEDIUM,32,5342,0.6,30.3,business-names,Moderate traffic. Update content freshness.
https://writeralpha.com/business/slime-business-names,/business-names/slime,UPDATE,MEDIUM,31,16527,0.2,25.9,business-names,"High impressions (16,527) but low clicks. Needs complete content upgrade."
https://writeralpha.com/gemstone/sun-safe-crystals,/learn/sun-safe-crystals,UPDATE,MEDIUM,31,5591,0.6,38.3,gem-other,Moderate traffic. Update content freshness.
https://writeralpha.com/gemstone/tree-agate-vs-moss-agate,/compare/tree-agate-vs-moss-agate,UPDATE,MEDIUM,31,5352,0.6,43.3,gem-other,Moderate traffic. Update content freshness.
